#export;EXP-2026-001 (2026-06-29T10:14:46+01:00)
#bron;https://data.rivm.nl/data/luchtmeetnet
#beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf
#
#
component;matrix;component_naam;comp_matrix_naam;comp_matrix_eenheid
As;aerosol;arseen;arseen (aerosol);ng/m³
Br;aerosol;broom;broom (aerosol);ng/m³
Ca;aerosol;calcium;calcium (aerosol);ng/m³
Cd;aerosol;cadmium;cadmium (aerosol);ng/m³
Cl;aerosol;chloride;chloride (aerosol);µg/m³
Cr;aerosol;chroom;chroom (aerosol);ng/m³
Cu;aerosol;koper;koper (aerosol);ng/m³
Fe;aerosol;ijzer;ijzer (aerosol);ng/m³
NH4;aerosol;ammonium;ammonium (aerosol);µg/m³
NO3;aerosol;nitraat;nitraat (aerosol);µg/m³
Ni;aerosol;nikkel;nikkel (aerosol);ng/m³
Pb;aerosol;lood;lood (aerosol);ng/m³
S;aerosol;zwavel;zwavel (aerosol);ng/m³
SO4;aerosol;sulfaat;sulfaat (aerosol);µg/m³
Zn;aerosol;zink;zink (aerosol);ng/m³
1-buteen;lucht;1-buteen;1-buteen (lucht);µg/m³
1-penteen;lucht;1-penteen;1-penteen (lucht);µg/m³
111-trichletaan;lucht;1,1,1-trichloroetaan;1,1,1-trichloroetaan (lucht);µg/m³
112-trichletaan;lucht;1,1,2-trichloroetaan;1,1,2-trichloroetaan (lucht);µg/m³
12-dichlbenz;lucht;1,2-dichlorobenzeen;1,2-dichlorobenzeen (lucht);µg/m³
12-dichletaan;lucht;1,2-dichloroetaan;1,2-dichloroetaan (lucht);µg/m³
12-dichlpropaan;lucht;1,2-dichloropropaan;1,2-dichloropropaan (lucht);µg/m³
123-trichlbenz;lucht;1,2,3-trichlorobenzeen;1,2,3-trichlorobenzeen (lucht);µg/m³
123-trimetben;lucht;1,2,3-trimethylbenzeen;1,2,3-trimethylbenzeen (lucht);µg/m³
124-trichlbenz;lucht;1,2,4-trichlorobenzeen;1,2,4-trichlorobenzeen (lucht);µg/m³
124-trimetben;lucht;1,2,4-trimethylbenzeen;1,2,4-trimethylbenzeen (lucht);µg/m³
13-butadieen;lucht;1,3-butadieen;1,3-butadieen (lucht);µg/m³
13-dichlbenz;lucht;1,3-dichlorobenzeen;1,3-dichlorobenzeen (lucht);µg/m³
135-trichlbenz;lucht;1,3,5-trichlorobenzeen;1,3,5-trichlorobenzeen (lucht);µg/m³
135-trimetben;lucht;1,3,5-trimethylbenzeen;1,3,5-trimethylbenzeen (lucht);µg/m³
14-dichlbenz;lucht;1,4-dichlorobenzeen;1,4-dichlorobenzeen (lucht);µg/m³
2-ethyltolueen;lucht;2-ethyltolueen;2-ethyltolueen (lucht);µg/m³
2-methnaftaleen;lucht;2-methylnaftaleen;2-methylnaftaleen (lucht);µg/m³
2-penteen;lucht;2-penteen;2-penteen (lucht);µg/m³
3-ethyltolueen;lucht;3-ethyltolueen;3-ethyltolueen (lucht);µg/m³
4-ethyltolueen;lucht;4-ethyltolueen;4-ethyltolueen (lucht);µg/m³
BC;lucht;black carbon;black carbon (lucht);µg/m³
BC370;lucht;BC 370;;
BC470;lucht;BC 470;;
BC520;lucht;BC 520;;
BC590;lucht;BC 590;;
BC630;lucht;BC 630;;
BC880;lucht;BC 880;;
BC950;lucht;BC 950;;
BCwb;lucht;BC wood burning;Blackcarbon wood burning;µg/m³
CH4;lucht;methaan;methaan (lucht);µg/m³
CO;lucht;koolmonoxide;koolmonoxide (lucht);µg/m³
CO2;lucht;kooldioxide;kooldioxide (lucht);µg/m³
H2S;lucht;waterstofsulfide;waterstofsulfide (lucht);µg/m³
HG;lucht;Kwik;;
NH3;lucht;ammoniak (gemeten onder normaal-condities);ammoniak (gemeten onder normaal-condities) (lucht);µg/m³
NO;lucht;stikstofmonoxide;stikstofmonoxide (lucht);µg/m³
NO2;lucht;stikstofdioxide;stikstofdioxide (lucht);µg/m³
NOx;lucht;stikstofoxiden;stikstofoxiden (lucht);µg NO2/m³
O3;lucht;ozon;ozon (lucht);µg/m³
Ox;lucht;oxidant;oxidant (lucht);ppb
PM10;lucht;fijn stof (stofdeeltjes < 10 µm);fijn stof (stofdeeltjes < 10 µm) (lucht);µg/m³
PM2.5;lucht;fijn stof (stofdeeltjes < 2,5 µm);fijn stof (stofdeeltjes < 2,5 µm) (lucht);µg/m³
SO2;lucht;zwaveldioxide;zwaveldioxide (lucht);µg/m³
UFP;lucht;ultra fijn stof;ultra fijn stof (lucht);n/cm³
ZWR;lucht;zwarte rook;zwarte rook (lucht);µg/m³
acetyleen;lucht;acetyleen;acetyleen (lucht);µg/m³
benzeen;lucht;benzeen;benzeen (lucht);µg/m³
butylbenzeen;lucht;butylbenzeen;butylbenzeen (lucht);µg/m³
chloorbenzeen;lucht;chloorbenzeen;chloorbenzeen (lucht);µg/m³
cis-2-buteen;lucht;cis-2-buteen;cis-2-buteen (lucht);µg/m³
cumeen;lucht;cumeen;cumeen (lucht);µg/m³
cymeen;lucht;cymeen;cymeen (lucht);µg/m³
decaan;lucht;decaan;decaan (lucht);µg/m³
dodecaan;lucht;dodecaan;dodecaan (lucht);µg/m³
ethaan;lucht;ethaan;ethaan (lucht);µg/m³
ethylbenzeen;lucht;ethylbenzeen;ethylbenzeen (lucht);µg/m³
ethyleen;lucht;ethyleen;ethyleen (lucht);µg/m³
fenol;lucht;fenol;fenol (lucht);µg/m³
hexadecaan;lucht;hexadecaan;hexadecaan (lucht);µg/m³
i-butaan;lucht;i-butaan;i-butaan (lucht);µg/m³
i-hexaan;lucht;i-hexaan;i-hexaan (lucht);µg/m³
i-octaan;lucht;i-octaan;i-octaan (lucht);µg/m³
i-pentaan;lucht;i-pentaan;i-pentaan (lucht);µg/m³
isopreen;lucht;isopreen;isopreen (lucht);µg/m³
limoneen;lucht;limoneen;limoneen (lucht);µg/m³
m-xyleen;lucht;m-xyleen;m-xyleen (lucht);µg/m³
meta-paraxyleen;lucht;m+p-xyleen;m+p-xyleen (lucht);µg/m³
n-butaan;lucht;n-butaan;n-butaan (lucht);µg/m³
n-heptaan;lucht;n-heptaan;n-heptaan (lucht);µg/m³
n-hexaan;lucht;n-hexaan;n-hexaan (lucht);µg/m³
n-octaan;lucht;n-octaan;n-octaan (lucht);µg/m³
n-pentaan;lucht;n-pentaan;n-pentaan (lucht);µg/m³
naftaleen;lucht;naftaleen;naftaleen (lucht);µg/m³
nonaan;lucht;nonaan;nonaan (lucht);µg/m³
orthoxyleen;lucht;o-xyleen;o-xyleen (lucht);µg/m³
p-xyleen;lucht;p-xyleen;p-xyleen (lucht);µg/m³
pentadecaan;lucht;pentadecaan;pentadecaan (lucht);µg/m³
propaan;lucht;propaan;propaan (lucht);µg/m³
propeen;lucht;propeen;propeen (lucht);µg/m³
propylbenzeen;lucht;propylbenzeen;propylbenzeen (lucht);µg/m³
styreen;lucht;styreen;styreen (lucht);µg/m³
tetrachleteen;lucht;tetrachloroeteen;tetrachloroeteen (lucht);µg/m³
tetrachlmetaan;lucht;tetrachlorometaan;tetrachlorometaan (lucht);µg/m³
tetradecaan;lucht;tetradecaan;tetradecaan (lucht);µg/m³
tolueen;lucht;tolueen;tolueen (lucht);µg/m³
trans-2-buteen;lucht;trans-2-buteen;trans-2-buteen (lucht);µg/m³
trichleteen;lucht;trichloroeteen;trichloroeteen (lucht);µg/m³
trichlmetaan;lucht;trichlorometaan;trichlorometaan (lucht);µg/m³
tridecaan;lucht;tridecaan;tridecaan (lucht);µg/m³
undecaan;lucht;undecaan;undecaan (lucht);µg/m³
UFP;lucht+aerosol;ultra fijn stof;ultra fijn stof (lucht+aerosol);n/cm³
