#export;EXP-2026-001 (2026-07-03T16:51:36+01:00)
#bron;https://data.rivm.nl/data/luchtmeetnet
#beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf
#
#
meetreeks_id;meetlocatie_id;component;matrix;meetreeks_begindatumtijd;meetreeks_einddatumtijd;gebiedstype;stationstype;meethoogte
NL01437_BC_lucht;NL01437;BC;lucht;2017-11-23T00:00:00+01:00;;regionaal;achtergrond;3
NL01437_BCwb_lucht;NL01437;BCwb;lucht;2021-11-01T00:00:00+01:00;;regionaal;achtergrond;3
NL01482_PM10_lucht;NL01482;PM10;lucht;2004-01-01T00:00:00+01:00;2016-01-01T00:00:00+01:00;regionaal;industrie;2.65
NL01482_PM2.5_lucht;NL01482;PM2.5;lucht;2012-01-01T00:00:00+01:00;2016-01-01T00:00:00+01:00;regionaal;industrie;2.65
NL01483_BC_lucht;NL01483;BC;lucht;2008-08-27T00:00:00+01:00;2016-01-28T00:00:00+01:00;stad;industrie;2.5
NL01483_NO2_lucht;NL01483;NO2;lucht;2008-09-01T00:00:00+01:00;2016-02-01T00:00:00+01:00;stad;verkeer;2.5
NL01483_NO_lucht;NL01483;NO;lucht;2008-09-01T00:00:00+01:00;2016-02-01T00:00:00+01:00;stad;verkeer;2.5
NL01483_NOx_lucht;NL01483;NOx;lucht;2008-09-01T00:00:00+01:00;2016-02-01T00:00:00+01:00;stad;verkeer;2.5
NL01483_PM10_lucht;NL01483;PM10;lucht;2011-04-20T00:00:00+01:00;2016-01-28T00:00:00+01:00;stad;verkeer;2.5
NL01483_PM2.5_lucht;NL01483;PM2.5;lucht;2011-04-20T00:00:00+01:00;2016-01-28T00:00:00+01:00;stad;verkeer;2.5
NL01483_benzeen_lucht;NL01483;benzeen;lucht;2012-01-12T00:00:00+01:00;2016-01-28T00:00:00+01:00;stad;verkeer;2.5
NL01483_tolueen_lucht;NL01483;tolueen;lucht;2012-01-12T00:00:00+01:00;2016-01-28T00:00:00+01:00;stad;verkeer;2.5
NL01484_SO2_lucht;NL01484;SO2;lucht;1999-07-13T00:00:00+01:00;;stad;industrie;2.4
NL01484_benzeen_lucht;NL01484;benzeen;lucht;2014-01-01T00:00:00+01:00;;stad;industrie;2.4
NL01484_tolueen_lucht;NL01484;tolueen;lucht;2014-01-01T00:00:00+01:00;;stad;industrie;2.4
NL01485_NO2_lucht;NL01485;NO2;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_NO_lucht;NL01485;NO;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_NOx_lucht;NL01485;NOx;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_O3_lucht;NL01485;O3;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_Ox_lucht;NL01485;Ox;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_PM10_lucht;NL01485;PM10;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_PM2.5_lucht;NL01485;PM2.5;lucht;2012-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_SO2_lucht;NL01485;SO2;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_benzeen_lucht;NL01485;benzeen;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01485_tolueen_lucht;NL01485;tolueen;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.75
NL01486_NO2_lucht;NL01486;NO2;lucht;2008-01-01T00:00:00+01:00;2016-03-02T00:00:00+01:00;stad;industrie;2.5
NL01486_NO_lucht;NL01486;NO;lucht;2008-01-01T00:00:00+01:00;2016-03-02T00:00:00+01:00;stad;industrie;2.5
NL01486_NOx_lucht;NL01486;NOx;lucht;2008-01-01T00:00:00+01:00;2016-03-02T00:00:00+01:00;stad;industrie;2.5
NL01486_PM10_lucht;NL01486;PM10;lucht;2014-01-01T00:00:00+01:00;2016-03-02T00:00:00+01:00;stad;industrie;2.5
NL01486_SO2_lucht;NL01486;SO2;lucht;2004-01-01T00:00:00+01:00;2016-03-02T00:00:00+01:00;voorstad;industrie;2.5
NL01487_BC_lucht;NL01487;BC;lucht;2009-07-01T00:00:00+01:00;;stad;verkeer;2.5
NL01487_BCwb_lucht;NL01487;BCwb;lucht;2022-04-01T00:00:00+01:00;;stad;verkeer;2.5
NL01487_CO_lucht;NL01487;CO;lucht;2009-07-01T00:00:00+01:00;2016-01-05T00:00:00+01:00;stad;verkeer;2.5
NL01487_NO2_lucht;NL01487;NO2;lucht;2009-10-20T00:00:00+01:00;;stad;verkeer;2.5
NL01487_NO_lucht;NL01487;NO;lucht;2009-10-20T00:00:00+01:00;;stad;verkeer;2.5
NL01487_NOx_lucht;NL01487;NOx;lucht;2009-10-20T00:00:00+01:00;;stad;verkeer;2.5
NL01487_PM10_lucht;NL01487;PM10;lucht;2010-06-02T00:00:00+01:00;;stad;verkeer;2.5
NL01487_PM2.5_lucht;NL01487;PM2.5;lucht;2012-01-01T00:00:00+01:00;;stad;verkeer;2.5
NL01488_BC_lucht;NL01488;BC;lucht;2009-07-01T00:00:00+01:00;;stad;achtergrond;2.3
NL01488_BCwb_lucht;NL01488;BCwb;lucht;2022-04-01T00:00:00+01:00;;stad;achtergrond;2.3
NL01488_CO_lucht;NL01488;CO;lucht;2009-07-01T00:00:00+01:00;2016-01-05T00:00:00+01:00;stad;achtergrond;2.3
NL01488_NO2_lucht;NL01488;NO2;lucht;2010-01-01T00:00:00+01:00;;stad;achtergrond;2.3
NL01488_NO_lucht;NL01488;NO;lucht;2010-01-01T00:00:00+01:00;;stad;achtergrond;2.3
NL01488_NOx_lucht;NL01488;NOx;lucht;2010-01-01T00:00:00+01:00;;stad;achtergrond;2.3
NL01488_PM10_lucht;NL01488;PM10;lucht;2010-05-18T00:00:00+01:00;;stad;achtergrond;2.3
NL01488_PM2.5_lucht;NL01488;PM2.5;lucht;2012-01-01T00:00:00+01:00;;stad;achtergrond;2.3
NL01489_NO2_lucht;NL01489;NO2;lucht;2005-01-01T00:00:00+01:00;;stad;verkeer;2.5
NL01489_NO_lucht;NL01489;NO;lucht;2005-01-01T00:00:00+01:00;;stad;verkeer;2.5
NL01489_NOx_lucht;NL01489;NOx;lucht;2005-01-01T00:00:00+01:00;;stad;verkeer;2.5
NL01489_O3_lucht;NL01489;O3;lucht;2004-07-01T00:00:00+01:00;2022-02-04T00:00:00+01:00;stad;verkeer;2.5
NL01489_Ox_lucht;NL01489;Ox;lucht;2005-01-01T00:00:00+01:00;;stad;verkeer;2.5
NL01489_PM10_lucht;NL01489;PM10;lucht;2004-07-01T00:00:00+01:00;;stad;verkeer;2.5
NL01489_PM2.5_lucht;NL01489;PM2.5;lucht;2012-01-01T00:00:00+01:00;;stad;verkeer;2.5
NL01489_benzeen_lucht;NL01489;benzeen;lucht;2001-06-17T00:00:00+01:00;2012-01-01T00:00:00+01:00;stad;verkeer;2.5
NL01489_tolueen_lucht;NL01489;tolueen;lucht;2001-06-17T00:00:00+01:00;2012-01-01T00:00:00+01:00;stad;verkeer;2.5
NL01491_BC_lucht;NL01491;BC;lucht;2012-01-17T00:00:00+01:00;;stad;verkeer;2.65
NL01491_BCwb_lucht;NL01491;BCwb;lucht;2021-01-01T00:00:00+01:00;;stad;verkeer;2.65
NL01491_CO_lucht;NL01491;CO;lucht;2001-07-31T00:00:00+01:00;2016-01-05T00:00:00+01:00;stad;verkeer;2.65
NL01491_NO2_lucht;NL01491;NO2;lucht;2003-01-01T00:00:00+01:00;;stad;verkeer;2.65
NL01491_NO_lucht;NL01491;NO;lucht;2003-01-01T00:00:00+01:00;;stad;verkeer;2.65
NL01491_NOx_lucht;NL01491;NOx;lucht;2003-01-01T00:00:00+01:00;;stad;verkeer;2.65
NL01491_PM10_lucht;NL01491;PM10;lucht;2003-01-01T00:00:00+01:00;;stad;verkeer;2.65
NL01491_PM2.5_lucht;NL01491;PM2.5;lucht;2012-01-01T00:00:00+01:00;;stad;verkeer;2.65
NL01491_benzeen_lucht;NL01491;benzeen;lucht;2001-01-16T00:00:00+01:00;2011-04-03T00:00:00+01:00;stad;verkeer;2.65
NL01491_tolueen_lucht;NL01491;tolueen;lucht;2001-01-16T00:00:00+01:00;2011-04-03T00:00:00+01:00;stad;verkeer;2.65
NL01492_BC_lucht;NL01492;BC;lucht;2007-06-06T00:00:00+01:00;;stad;verkeer;2.4
NL01493_BC_lucht;NL01493;BC;lucht;2016-06-02T00:00:00+01:00;;stad;verkeer;2.6
NL01493_BCwb_lucht;NL01493;BCwb;lucht;2024-01-15T00:00:00+01:00;;stad;verkeer;2.6
NL01493_CO_lucht;NL01493;CO;lucht;2005-04-01T00:00:00+01:00;2013-04-20T00:00:00+01:00;stad;verkeer;2.6
NL01493_NO2_lucht;NL01493;NO2;lucht;2005-03-01T00:00:00+01:00;;stad;verkeer;2.6
NL01493_NO_lucht;NL01493;NO;lucht;2005-04-01T00:00:00+01:00;;stad;verkeer;2.6
NL01493_NOx_lucht;NL01493;NOx;lucht;2005-04-01T00:00:00+01:00;;stad;verkeer;2.6
NL01493_O3_lucht;NL01493;O3;lucht;2005-03-21T00:00:00+01:00;;stad;verkeer;2.6
NL01493_Ox_lucht;NL01493;Ox;lucht;2005-04-01T00:00:00+01:00;;stad;verkeer;2.6
NL01493_PM10_lucht;NL01493;PM10;lucht;2005-04-14T00:00:00+01:00;;stad;verkeer;2.6
NL01493_PM2.5_lucht;NL01493;PM2.5;lucht;2023-01-01T00:00:00+01:00;;stad;verkeer;2.6
NL01493_benzeen_lucht;NL01493;benzeen;lucht;2005-04-28T00:00:00+01:00;2011-08-13T00:00:00+01:00;stad;verkeer;2.6
NL01493_tolueen_lucht;NL01493;tolueen;lucht;2005-04-28T00:00:00+01:00;2011-08-13T00:00:00+01:00;stad;verkeer;2.6
NL01494_BC_lucht;NL01494;BC;lucht;2004-11-03T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_BCwb_lucht;NL01494;BCwb;lucht;2021-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_NO2_lucht;NL01494;NO2;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_NO_lucht;NL01494;NO;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_NOx_lucht;NL01494;NOx;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_O3_lucht;NL01494;O3;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_Ox_lucht;NL01494;Ox;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_PM10_lucht;NL01494;PM10;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_PM2.5_lucht;NL01494;PM2.5;lucht;2012-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_SO2_lucht;NL01494;SO2;lucht;2004-01-01T00:00:00+01:00;2016-03-02T00:00:00+01:00;stad;achtergrond;2.8
NL01494_UFP_lucht;NL01494;UFP;lucht;2023-10-13T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_benzeen_lucht;NL01494;benzeen;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01494_tolueen_lucht;NL01494;tolueen;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.8
NL01495_NO2_lucht;NL01495;NO2;lucht;2003-01-01T00:00:00+01:00;;stad;achtergrond;2.6
